SU_ID,LS_Maria2017,SU_Area,SU_Perimeter,SU_P.A,SU_P.sqrt.A.,SU_Max.Distance,SU_D.A,SU_D.sqrt.A.,Dist2Stream..MEAN.,Dist2Stream..STDDEV.,Eastness..MEAN.,Eastness..STDDEV.,Elevation..MEAN.,Elevation..STDDEV.,Northness..MEAN.,Northness..STDDEV.,PlanarCurvature..MEAN.,PlanarCurvature..STDDEV.,ProfileCurvature..MEAN.,ProfileCurvature..STDDEV.,RSP..MEAN.,RSP..STDDEV.,Slope..MEAN.,Slope..STDDEV.,TWI..MEAN.,TWI..STDDEV.,UniqueID,Forest,Agriculture,Builtup,Roads,Bare,Quarry,RGA,CRL,YPD,YPC,YPV,YPI,BAP,BAO,BAY,IGO,IPL,IGY,IBP,OPL,PBA,PPD,PCR,PLI,PIC,PLP
Pol_624,32,455875.3941,3563.295314,0.007816,5.277506,1098.597287,0.00241,1.627105,175.976425,102.022337,-0.138042,0.346125,247.9022,49.434951,-0.911758,0.172739,0.000732,0.005832,-0.00105,0.009154,0.469081,0.273477,17.759538,5.942856,6.065461,1.475728,624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_625,292,548841,5078.140882,0.009252,6.85459,1613.677787,0.00294,2.178179,169.745984,105.868517,-0.456894,0.420368,371.385985,79.089689,0.711007,0.330163,0.000342,0.008028,-0.000802,0.009379,0.527431,0.317977,20.695169,8.542984,5.844669,1.877306,625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_626,344,402955,6573.029081,0.016312,10.354694,2035.715108,0.005052,3.206924,146.580328,107.412393,0.158451,0.63244,558.49813,110.790837,0.579592,0.488862,-0.000122,0.01186,-0.000169,0.012343,0.507698,0.321806,18.67733,9.380677,5.561805,1.891656,626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.19,0,0,0,0
Pol_627,1292,559656,5199.67015,0.009291,6.950487,1780.702109,0.003182,2.380294,135.967837,84.478282,0.772004,0.223569,392.102817,86.170989,-0.494984,0.330178,0.00085,0.008619,-0.000507,0.011199,0.465113,0.320886,25.366023,7.678387,5.364053,1.515063,627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_628,0,80247.87666,1714.985112,0.021371,6.054016,664.252663,0.008278,2.344858,127.011562,63.524105,0.497989,0.465459,159.06503,39.693702,0.32384,0.656112,-0.000361,0.029967,0.000537,0.025837,0.729016,0.272223,23.889783,10.705404,4.255802,1.777873,628,0.01,0.91,0.01,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_629,26272,1965948,12040.04121,0.006124,8.58701,3810.013123,0.001938,2.717318,120.203479,78.489272,0.335133,0.516215,733.742236,162.581646,-0.603531,0.506911,0.000477,0.018958,-0.000307,0.025694,0.559014,0.338356,27.446885,13.054693,5.030191,1.79725,629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.42,0,0.44,0,0,0,0
Pol_630,372,105360.177,2705.816863,0.025682,8.336047,971.69985,0.009223,2.993601,47.85553,35.8078,-0.58596,0.316128,593.483879,40.541189,-0.62169,0.412572,-0.001296,0.020595,-0.003655,0.028251,0.292853,0.259026,25.693518,11.824362,5.256516,2.525825,630,0.38,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0.48,0,0,0,0,0,0
Pol_631,3796,296205,6409.516576,0.021639,11.776848,2035.808439,0.006873,3.740595,57.187028,38.023733,-0.617917,0.406492,720.291771,150.92889,-0.259647,0.620908,0.000137,0.036027,-6.00E-04,0.037052,0.45305,0.318032,33.088166,14.079948,4.156473,2.158026,631,0.76,0.23,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.64,0,0.2,0,0,0,0
Pol_632,6212,97017,2024.977956,0.020872,6.501243,654.012232,0.006741,2.099723,71.571215,42.831694,0.577252,0.45427,348.397205,95.331258,-0.531069,0.422355,0.000754,0.043885,-0.002269,0.037792,0.347214,0.306154,38.194772,12.224861,4.125618,2.360949,632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_633,10512,766144.5826,7699.436676,0.01005,8.796372,2115.056235,0.002761,2.416387,88.780365,63.393457,0.357816,0.630084,827.903085,151.063872,-0.463867,0.509694,-3.60E-05,0.045972,-7.00E-04,0.037946,0.494635,0.316612,40.73534,10.983108,3.785619,1.93746,633,0.67,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.31,0,0.32,0,0,0,0
Pol_634,0,96411,2057.723401,0.021343,6.627103,719.30244,0.007461,2.316585,121.524063,85.238647,0.570543,0.283583,174.309975,38.446699,-0.703322,0.315278,0.001626,0.006088,-0.001232,0.007833,0.528776,0.373513,15.837267,3.968381,5.914098,2.245896,634,0.92,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_635,256,367074.732,3547.488884,0.009664,5.855228,1009.942232,0.002751,1.666937,93.716422,65.624898,0.660373,0.398841,135.544193,75.474495,0.131206,0.62259,0.000529,0.022836,0.000695,0.018249,0.688834,0.300129,27.453577,9.070746,4.388579,1.530439,635,0,0.99,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_636,1448,366241.9305,6819.995965,0.018622,11.269382,2122.318098,0.005795,3.506925,112.540557,65.012972,-0.237725,0.514696,283.076102,105.636138,0.754463,0.330698,-0.001138,0.026321,-7.70E-05,0.027304,0.622139,0.308924,31.22557,9.900655,4.267758,1.360019,636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_637,17212,701651.7268,5660.891049,0.008068,6.75809,1613.608379,0.0023,1.92636,69.882852,50.825571,0.125327,0.607307,290.167745,112.814779,-0.695551,0.362878,-9.10E-05,0.047098,-0.000672,0.048623,0.394218,0.330989,39.449952,12.054551,3.907985,1.982236,637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_638,0,907879.9526,11783.4117,0.012979,12.366786,2413.495014,0.002658,2.532983,115.008086,65.811391,-0.572474,0.425632,209.162532,106.940596,-0.066734,0.697609,0.002358,0.01294,0.003205,0.012811,0.66178,0.314491,18.696178,6.83734,5.031151,1.312973,638,0.95,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_639,0,171056.7108,3179.902737,0.01859,7.688538,1109.006401,0.006483,2.681415,73.258823,50.62162,-0.709073,0.344647,394.668155,59.659541,-0.101074,0.606809,0.002229,0.019233,0.002621,0.016678,0.691926,0.288753,19.600944,7.768128,4.79824,1.217458,639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_640,4156,272512.8972,5280.8699,0.019378,10.116073,1111.808496,0.00408,2.129788,80.200358,57.418826,-0.469795,0.450545,775.142206,148.389034,-0.579334,0.490585,-0.002574,0.047503,-0.001959,0.047972,0.451236,0.330389,44.57764,10.371296,3.791274,1.743062,640,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0.18,0,0.36,0,0,0,0
Pol_641,0,68541.09846,1715.767492,0.025033,6.553645,609.56844,0.008893,2.328343,23.168622,17.098814,0.1448,0.70008,22.336366,3.791831,0.266056,0.646633,-0.000391,0.006286,-0.003656,0.009433,0.030043,0.034174,5.878499,6.498055,6.345817,2.482876,641,0,0.89,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_642,752,481562,5006.567835,0.010397,7.214629,1554.059523,0.003227,2.239451,145.290536,87.131037,0.738369,0.294492,224.753362,93.000815,-0.278121,0.539197,-6.00E-05,0.018388,6.90E-05,0.015156,0.673778,0.310706,27.352693,8.860382,4.671401,1.509057,642,0.41,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_643,308,246237.1845,4822.370092,0.019584,9.718153,1539.382993,0.006252,3.102201,100.848303,71.701362,-0.085687,0.48181,216.95126,108.165901,0.8474,0.205985,0.000385,0.016636,-0.000415,0.016354,0.616035,0.321314,28.381375,9.477133,4.680203,1.72531,643,0.45,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_644,0,966251.6475,7304.509692,0.00756,7.430977,2062.594334,0.002135,2.098305,117.249192,68.936582,-0.375427,0.666812,417.397447,48.593658,0.445772,0.46444,0.000106,0.004248,-0.000529,0.005038,0.458528,0.34369,11.903682,5.381968,6.341348,1.484816,644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_645,0,211788,2901.801068,0.013701,6.305463,943.663075,0.004456,2.050531,67.702789,50.174846,0.599969,0.452422,221.684979,42.150454,0.135626,0.645722,0.000942,0.011958,-0.00014,0.011714,0.515506,0.348584,18.837407,5.910234,4.895791,1.857811,645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
